DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,DELTA_NET_TOTAL,CALENDAR,RATE_FOR,RATE_KZT
3/16/2016,46778438.0000,30876587.0000,15901852.0000,47110679.0000,64102145.0000,-16991465.0000,-1089614.0000,343.2300,380.2300,0.0003,0.0040,0.4850,-0.3092,2.2050,-0.1849,0.1550,-8.3893,-0.9000,NORMAL,0.0240,0.1220
3/17/2016,28771042.0000,45708549.0000,-16937507.0000,56652359.0000,49308262.0000,7344097.0000,-9593410.0000,346.6100,384.4900,-0.0098,-0.0112,-0.3850,0.4804,2.0651,0.2025,-0.2308,-1.4322,7.8044,NORMAL,0.0240,0.1220
3/18/2016,26705153.0000,37712651.0000,-11007498.0000,60760289.0000,51074207.0000,9686082.0000,-1321416.0000,346.0500,391.4500,0.0016,-0.0181,-0.0718,-0.1749,0.3501,0.0725,0.0358,0.3189,-0.8623,NORMAL,0.0240,0.1220
3/19/2016,22571141.0000,11114545.0000,11456597.0000,39135139.0000,32544432.0000,6590708.0000,18047304.0000,345.7300,389.7800,0.0009,0.0043,-0.1548,-0.7053,2.0408,-0.3559,-0.3628,-0.3196,-14.6575,WEEKEND,0.0240,0.1220
3/20/2016,12317574.0000,5421733.0000,6895842.0000,19666251.0000,18466140.0000,1200111.0000,8095952.0000,345.7300,389.7800,0.0000,0.0000,-0.4543,-0.5122,0.3981,-0.4975,-0.4326,-0.8179,-0.5514,WEEKEND,0.0240,0.1220
3/21/2016,16339465.0000,11185526.0000,5153939.0000,18746870.0000,17003611.0000,1743259.0000,6897198.0000,345.7300,389.7800,0.0000,0.0000,0.3265,1.0631,0.2526,-0.0467,-0.0792,0.4526,-0.1481,HOLIDAY,0.0240,0.1220
3/22/2016,4592350.0000,3913260.0000,679089.0000,13234238.0000,12647751.0000,586488.0000,1265577.0000,345.7300,389.7800,0.0000,0.0000,-0.7189,-0.6501,0.8682,-0.2941,-0.2562,-0.6636,-0.8165,HOLIDAY,0.0240,0.1220
3/23/2016,6475537.0000,8270119.0000,-1794582.0000,19580052.0000,18258086.0000,1321966.0000,-472617.0000,345.7300,389.7800,0.0000,0.0000,0.4101,1.1134,3.6426,0.4795,0.4436,1.2540,-1.3734,HOLIDAY,0.0240,0.1220
3/24/2016,26306282.0000,26869600.0000,-563318.0000,49807803.0000,46740438.0000,3067365.0000,2504047.0000,345.7300,389.7800,0.0000,0.0000,3.0624,2.2490,0.6861,1.5438,1.5600,1.3203,-6.2983,NORMAL,0.0240,0.1220
3/25/2016,23553022.0000,60490216.0000,-36937194.0000,65611048.0000,44060429.0000,21550619.0000,-15386574.0000,346.9700,387.5300,-0.0036,0.0058,-0.1047,1.2513,-64.5708,0.3173,-0.0573,6.0258,-7.1447,NORMAL,0.0240,0.1220
3/26/2016,13400565.0000,31899950.0000,-18499384.0000,53617029.0000,23039793.0000,30577235.0000,12077851.0000,343.8300,383.9500,0.0090,0.0092,-0.4310,-0.4726,0.4992,-0.1828,-0.4771,0.4189,-1.7850,WEEKEND,0.0240,0.1220
3/27/2016,5825980.0000,13774831.0000,-7948851.0000,22439745.0000,17049042.0000,5390703.0000,-2558148.0000,343.8300,383.9500,0.0000,0.0000,-0.5652,-0.5682,0.5703,-0.5815,-0.2600,-0.8237,-1.2118,WEEKEND,0.0240,0.1220
3/28/2016,27683009.0000,74483170.0000,-46800161.0000,92924703.0000,40475622.0000,52449081.0000,5648920.0000,343.8300,383.9500,0.0000,0.0000,3.7516,4.4072,-4.8877,3.1411,1.3741,8.7295,-3.2082,NORMAL,0.0240,0.1220
3/29/2016,23407408.0000,69730270.0000,-46322863.0000,79303141.0000,40385789.0000,38917352.0000,-7405511.0000,340.1500,379.6100,0.0107,0.0113,-0.1544,-0.0638,0.0102,-0.1466,-0.0022,-0.2580,-2.3110,NORMAL,0.0240,0.1220
3/30/2016,22776217.0000,44259796.0000,-21483579.0000,51937996.0000,35578623.0000,16359373.0000,-5124206.0000,341.5100,382.3500,-0.0040,-0.0072,-0.0270,-0.3653,0.5362,-0.3451,-0.1190,-0.5796,-0.3081,NORMAL,0.0240,0.1220
3/31/2016,18112086.0000,39457063.0000,-21344977.0000,65815283.0000,33294125.0000,32521159.0000,11176182.0000,343.0600,388.2400,-0.0045,-0.0154,-0.2048,-0.1085,0.0065,0.2672,-0.0642,0.9879,-3.1811,SALARY,0.0240,0.1220
4/1/2016,29509318.0000,57553668.0000,-28044350.0000,75530095.0000,47608300.0000,27921795.0000,-122555.0000,343.6200,390.5200,-0.0016,-0.0059,0.6293,0.4586,-0.3139,0.1476,0.4299,-0.1414,-1.0110,SALARY,0.0240,0.1220
4/2/2016,24659949.0000,21189134.0000,3470815.0000,45611036.0000,32743654.0000,12867383.0000,16338197.0000,342.4900,390.5400,0.0033,-0.0001,-0.1643,-0.6318,1.1238,-0.3961,-0.3122,-0.5392,-134.3132,WEEKEND,0.0240,0.1220
4/3/2016,6407661.0000,6522334.0000,-114674.0000,21998055.0000,17315387.0000,4682669.0000,4567995.0000,342.4900,390.5400,0.0000,0.0000,-0.7402,-0.6922,1.0330,-0.5177,-0.4712,-0.6361,-0.7204,WEEKEND,0.0240,0.1220
4/4/2016,20688175.0000,39315894.0000,-18627719.0000,71204069.0000,46275771.0000,24928298.0000,6300579.0000,342.4900,390.5400,0.0000,0.0000,2.2287,5.0279,-161.4406,2.2368,1.6725,4.3235,0.3793,NORMAL,0.0240,0.1220
4/5/2016,24791256.0000,39825247.0000,-15033991.0000,60428653.0000,48288895.0000,12139758.0000,-2894233.0000,344.0000,390.8200,-0.0044,-0.0007,0.1983,0.0130,0.1929,-0.1513,0.0435,-0.5130,-1.4594,NORMAL,0.0240,0.1220
4/6/2016,17546524.0000,30286385.0000,-12739861.0000,63059532.0000,36321579.0000,26737953.0000,13998092.0000,345.5200,392.3400,-0.0044,-0.0039,-0.2922,-0.2395,0.1526,0.0435,-0.2478,1.2025,-5.8365,NORMAL,0.0240,0.1220
