DATE,IN_FOR,OUT_FOR,IN_KZT,OUT_KZT
2/12/2017,12120489.00,4634755.00,33425090.00,34509088.00
2/13/2017,18335469.00,19253833.00,69573539.00,69789852.00
2/14/2017,12047890.00,30882949.00,68566906.00,68321569.00
2/15/2017,20304973.00,22331948.00,75178382.00,64620978.00
2/16/2017,16588257.00,23015009.00,81771572.00,62521863.00
2/17/2017,18089768.00,28667341.00,77031450.00,65022271.00
2/18/2017,8125340.00,12474484.00,56211169.00,39210849.00
2/19/2017,3540197.00,6901228.00,29259063.00,26734325.00
2/20/2017,17712648.00,24130857.00,72922806.00,64466261.00
2/21/2017,12020060.00,34426012.00,74940725.00,69924112.00
2/22/2017,19781645.00,50869010.00,100201823.00,68703839.00
2/23/2017,14359920.00,38362347.00,80949813.00,59806885.00
2/24/2017,13922461.00,35405255.00,84493035.00,64829425.00
2/25/2017,11210177.00,15333038.00,61042387.00,45201826.00
2/26/2017,4627208.00,6861172.00,30064104.00,28079908.00
2/27/2017,17530511.00,22452510.00,80517064.00,70141266.00
2/28/2017,17548065.00,14998801.00,75650185.00,69912115.00
3/1/2017,32164030.00,20164175.00,86094764.00,103512622.00
3/2/2017,43926339.00,15435771.00,74925669.00,113206985.00
3/3/2017,33921224.00,18843104.00,78132409.00,91597453.00
3/4/2017,15621806.00,10925732.00,57785078.00,50158180.00
3/5/2017,8443502.00,5101763.00,34203513.00,32990729.00
3/6/2017,17839995.00,18473138.00,84320489.00,75746659.00
3/7/2017,17262048.00,20861349.00,81939214.00,63612397.00
3/8/2017,5261192.00,2887739.00,30685064.00,21228015.00
3/9/2017,23842954.00,12904134.00,74431398.00,75787647.00
3/10/2017,15173445.00,24557722.00,81751541.00,66165811.00
3/11/2017,13712681.00,6688103.00,56602177.00,37262276.00
3/12/2017,8592633.00,3354697.00,30401371.00,38316288.00
3/13/2017,22435307.00,20762859.00,71419787.00,81203909.00
3/14/2017,20697331.00,26395737.00,70087795.00,75792685.00
3/15/2017,17215019.00,24712355.00,73693940.00,65939380.00
3/16/2017,18729501.00,33434755.00,85741722.00,69248971.00
3/17/2017,14178219.00,23101597.00,73930402.00,74628321.00
3/18/2017,13020359.00,16329746.00,68308807.00,55523611.00
3/19/2017,5005731.00,4424301.00,38956252.00,29111759.00
3/20/2017,8109592.00,7980498.00,47355373.00,34885693.00
3/21/2017,4553598.00,6007779.00,31252293.00,28206903.00
