product,status,brand,categories,price,desc,,
12400028,old,bosch,162 240 163,0,,,
12400025,new,dewalt,162 240 163,262150,,,
12400045,new,dewalt,162 240 163,58195,,,
12400037,new,bosch,162 240 163,79900,,,
12400026,new,dewalt,162 240 163,284085,,,
12400038,new,dewalt,162 240 163,350971,,,
12400034,new,bosch,162 240 163,274000,,,
12400040,new,dewalt,162 240 163,213400,,,
12400023,new,bosch,162 240 163,45850,,,
12400029,new,bosch,162 240 163,67823,,,
12400039,new,dewalt,162 240 163,227400,,,
12400047,new,dewalt,162 240 163,67895,,,
12400031,new,bosch,162 240 163,143915,,,
12400035,new,bosch,162 240 163,208650,,,
12400027,new,bosch,162 240 163,390229,,,
12400030,new,bosch,162 240 163,84900,,,
12400041,new,dewalt,162 240 163,158110,,,
12400032,new,bosch,162 240 163,104900,,,
12400024,new,dewalt,162 240 163,63050,,,
12400000,old,dwt,162 240 163,0,1 26.0 4.0 4.6 40.0 4000.0 435x265x355 мм 800.0 950.0 SDS-Plus долбление дополнительная рукоятка ограничитель глубины сверления от сети фиксация шпинделя,,
12400001,old,bort,162 240 163,0,1 2.5 26.0 4.9 5000.0 800.0 90.0 930.0 SDS-Plus долбление ограничитель глубины сверления от сети электронная регулировка частоты вращения,,
12400002,new,bosh,162 240 163,35874,1 1.7 2.2 20.0 2300.0 30.0 550.0 5800.0 SDS-Plus блокировка кнопки включения долбление от сети сверление фиксация шпинделя электронная регулировка частоты вращения,,
